wl,fwhm
346.86,5.82
351.87,5.81
356.88,5.81
361.88,5.80
366.89,5.80
371.90,5.79
376.90,5.79
381.91,5.78
386.92,5.78
391.93,5.77
396.93,5.76
401.94,5.76
406.95,5.76
411.96,5.75
416.96,5.75
421.97,5.74
426.98,5.74
431.99,5.73
436.99,5.73
442.00,5.72
447.01,5.72
452.02,5.71
457.02,5.71
462.03,5.70
467.04,5.70
472.05,5.70
477.06,5.69
482.06,5.69
487.07,5.68
492.08,5.68
497.09,5.67
502.09,5.67
507.10,5.67
512.11,5.66
517.11,5.66
522.12,5.66
527.13,5.65
532.14,5.65
537.14,5.64
542.15,5.64
547.16,5.64
552.17,5.63
557.17,5.63
562.18,5.63
567.19,5.62
572.20,5.62
577.20,5.62
582.21,5.61
587.22,5.61
592.23,5.61
597.23,5.60
602.24,5.60
607.25,5.60
612.26,5.60
617.26,5.59
622.27,5.59
627.28,5.59
632.29,5.58
637.29,5.58
642.30,5.58
647.31,5.58
652.32,5.57
657.32,5.57
662.33,5.57
667.34,5.57
672.35,5.56
677.35,5.56
682.36,5.56
687.37,5.56
692.38,5.55
697.38,5.55
702.39,5.55
707.40,5.55
712.41,5.55
717.41,5.54
722.42,5.54
727.43,5.54
732.44,5.54
737.45,5.54
742.45,5.53
747.46,5.53
752.47,5.53
757.47,5.53
762.48,5.53
767.49,5.53
772.50,5.52
777.51,5.52
782.51,5.52
787.52,5.52
792.53,5.52
797.53,5.52
802.54,5.52
807.55,5.51
812.56,5.51
817.57,5.51
822.57,5.51
827.58,5.51
832.59,5.51
837.59,5.51
842.60,5.51
847.61,5.50
852.62,5.50
857.62,5.50
862.63,5.50
867.64,5.50
872.65,5.50
877.65,5.50
882.66,5.50
887.67,5.50
892.68,5.50
897.68,5.50
902.69,5.50
907.70,5.49
912.71,5.49
917.71,5.49
922.72,5.49
927.73,5.49
932.74,5.49
937.74,5.49
942.75,5.49
947.76,5.49
952.77,5.49
957.77,5.49
962.78,5.49
967.79,5.49
972.80,5.49
977.80,5.49
982.81,5.49
987.82,5.49
992.83,5.49
997.83,5.49
1002.84,5.49
1007.85,5.49
1012.86,5.49
1017.86,5.49
1022.87,5.49
1027.88,5.49
1032.89,5.49
1037.90,5.49
1042.90,5.49
1047.91,5.49
1052.92,5.49
1057.93,5.49
1062.93,5.49
1067.94,5.49
1072.95,5.49
1077.95,5.49
1082.96,5.49
1087.97,5.49
1092.98,5.49
1097.98,5.49
1102.99,5.49
1108.00,5.49
1113.01,5.49
1118.02,5.49
1123.02,5.49
1128.03,5.49
1133.04,5.49
1138.05,5.50
1143.05,5.50
1148.06,5.50
1153.07,5.50
1158.07,5.50
1163.08,5.50
1168.09,5.50
1173.10,5.50
1178.10,5.50
1183.11,5.50
1188.12,5.50
1193.13,5.50
1198.14,5.50
1203.14,5.50
1208.15,5.51
1213.16,5.51
1218.17,5.51
1223.17,5.51
1228.18,5.51
1233.19,5.51
1238.19,5.51
1243.20,5.51
1248.21,5.51
1253.22,5.51
1258.23,5.52
1263.23,5.52
1268.24,5.52
1273.25,5.52
1278.26,5.52
1283.26,5.52
1288.27,5.52
1293.28,5.52
1298.29,5.52
1303.29,5.53
1308.30,5.53
1313.31,5.53
1318.31,5.53
1323.32,5.53
1328.33,5.53
1333.34,5.53
1338.35,5.53
1343.35,5.54
1348.36,5.54
1353.37,5.54
1358.38,5.54
1363.38,5.54
1368.39,5.54
1373.40,5.54
1378.41,5.55
1383.41,5.55
1388.42,5.55
1393.43,5.55
1398.44,5.55
1403.44,5.55
1408.45,5.55
1413.46,5.56
1418.46,5.56
1423.47,5.56
1428.48,5.56
1433.49,5.56
1438.49,5.56
1443.50,5.56
1448.51,5.57
1453.52,5.57
1458.53,5.57
1463.53,5.57
1468.54,5.57
1473.55,5.57
1478.56,5.58
1483.56,5.58
1488.57,5.58
1493.58,5.58
1498.58,5.58
1503.59,5.58
1508.60,5.59
1513.61,5.59
1518.61,5.59
1523.62,5.59
1528.63,5.59
1533.64,5.59
1538.65,5.60
1543.65,5.60
1548.66,5.60
1553.67,5.60
1558.68,5.60
1563.68,5.60
1568.69,5.61
1573.70,5.61
1578.70,5.61
1583.71,5.61
1588.72,5.61
1593.73,5.61
1598.73,5.62
1603.74,5.62
1608.75,5.62
1613.76,5.62
1618.77,5.62
1623.77,5.62
1628.78,5.63
1633.79,5.63
1638.80,5.63
1643.80,5.63
1648.81,5.63
1653.82,5.63
1658.82,5.64
1663.83,5.64
1668.84,5.64
1673.85,5.64
1678.85,5.64
1683.86,5.64
1688.87,5.65
1693.88,5.65
1698.89,5.65
1703.89,5.65
1708.90,5.65
1713.91,5.65
1718.92,5.66
1723.92,5.66
1728.93,5.66
1733.94,5.66
1738.94,5.66
1743.95,5.66
1748.96,5.67
1753.97,5.67
1758.98,5.67
1763.98,5.67
1768.99,5.67
1774.00,5.67
1779.01,5.68
1784.01,5.68
1789.02,5.68
1794.03,5.68
1799.04,5.68
1804.04,5.68
1809.05,5.69
1814.06,5.69
1819.06,5.69
1824.07,5.69
1829.08,5.69
1834.09,5.69
1839.10,5.70
1844.10,5.70
1849.11,5.70
1854.12,5.70
1859.12,5.70
1864.13,5.70
1869.14,5.70
1874.15,5.71
1879.16,5.71
1884.16,5.71
1889.17,5.71
1894.18,5.71
1899.19,5.71
1904.19,5.71
1909.20,5.72
1914.21,5.72
1919.21,5.72
1924.22,5.72
1929.23,5.72
1934.24,5.72
1939.24,5.72
1944.25,5.73
1949.26,5.73
1954.27,5.73
1959.28,5.73
1964.28,5.73
1969.29,5.73
1974.30,5.73
1979.31,5.73
1984.31,5.74
1989.32,5.74
1994.33,5.74
1999.33,5.74
2004.34,5.74
2009.35,5.74
2014.36,5.74
2019.36,5.74
2024.37,5.74
2029.38,5.75
2034.39,5.75
2039.40,5.75
2044.40,5.75
2049.41,5.75
2054.42,5.75
2059.43,5.75
2064.43,5.75
2069.44,5.75
2074.45,5.75
2079.46,5.76
2084.46,5.76
2089.47,5.76
2094.48,5.76
2099.49,5.76
2104.49,5.76
2109.50,5.76
2114.51,5.76
2119.52,5.76
2124.52,5.76
2129.53,5.76
2134.54,5.76
2139.54,5.76
2144.55,5.77
2149.56,5.77
2154.57,5.77
2159.57,5.77
2164.58,5.77
2169.59,5.77
2174.60,5.77
2179.60,5.77
2184.61,5.77
2189.62,5.77
2194.63,5.77
2199.64,5.77
2204.64,5.77
2209.65,5.77
2214.66,5.77
2219.67,5.77
2224.67,5.77
2229.68,5.77
2234.69,5.77
2239.70,5.77
2244.70,5.77
2249.71,5.77
2254.72,5.77
2259.73,5.77
2264.73,5.77
2269.74,5.77
2274.75,5.77
2279.76,5.77
2284.76,5.77
2289.77,5.77
2294.78,5.77
2299.79,5.77
2304.79,5.77
2309.80,5.77
2314.81,5.77
2319.81,5.77
2324.82,5.77
2329.83,5.77
2334.84,5.77
2339.84,5.77
2344.85,5.77
2349.86,5.77
2354.87,5.77
2359.88,5.77
2364.88,5.77
2369.89,5.77
2374.90,5.77
2379.91,5.77
2384.91,5.77
2389.92,5.77
2394.93,5.76
2399.94,5.76
2404.94,5.76
2409.95,5.76
2414.96,5.76
2419.97,5.76
2424.97,5.76
2429.98,5.76
2434.99,5.76
2440.00,5.76
2445.00,5.76
2450.01,5.75
2455.02,5.75
2460.03,5.75
2465.03,5.75
2470.04,5.75
2475.05,5.75
2480.05,5.75
2485.06,5.75
